"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8056","Verify linkedIn page URL and Title","","2026-06-08","passed","2026-06-08","","","",""
"","2078","Add backpack product to cart","","2026-06-08","passed","2026-06-08","","","",""
"","3491","Add all products to cart page","","2026-06-08","passed","2026-06-08","","","",""
"","7734","Verify twitter page URL and Title","","2026-06-08","passed","2026-06-08","","","",""
"","3351","Remove all products from cart","","2026-06-08","passed","2026-06-08","","","",""
"","2390","Verify QTY text is visible on cart page","","2026-06-08","passed","2026-06-08","","","",""
"","6415","Login without username","","2026-06-08","passed","2026-06-08","","","",""
"","3881","Add Fleece Jacket product to cart","","2026-06-08","passed","2026-06-08","","","",""
"","31193","Verify Twitter page URL and Title","","2026-06-08","passed","2026-06-08","","","",""
"","3954","Add Bolt T-shirt product to cart","","2026-06-08","passed","2026-06-08","","","",""
"","7851","Login without password","","2026-06-08","passed","2026-06-08","","","",""
"","2262","Verify Your Cart text is visible on cart page","","2026-06-08","passed","2026-06-08","","","",""
"","5590","Verify BikeLight product details","","2026-06-08","passed","2026-06-08","","","",""
"","2188","Verify Description text is visible on cart page","","2026-06-08","passed","2026-06-08","","","",""
"","3789","Verify Backpack product details","","2026-06-08","passed","2026-06-08","","","",""
"","3770","Add BikeLight product to cart","","2026-06-08","passed","2026-06-08","","","",""
"","3496","Remove all products from cart page","","2026-06-08","passed","2026-06-08","","","",""
"","9812","Verify facebook page URL and Title","","2026-06-08","passed","2026-06-08","","","",""
"","14588","Verify FleeceJacket product details","","2026-06-08","passed","2026-06-08","","","",""
"","2362","Verify user navigate to cart page","","2026-06-08","passed","2026-06-08","","","",""
"","6850","Login with incorrect username","","2026-06-08","passed","2026-06-08","","","",""
"","2359","Verify product on cart page","","2026-06-08","passed","2026-06-08","","","",""
"","27757","Verify Facebook page URL and Title","","2026-06-08","passed","2026-06-08","","","",""
"","2022","Verify Continue shopping button","","2026-06-08","passed","2026-06-08","","","",""
"","3204","Add all product to cart","","2026-06-08","passed","2026-06-08","","","",""
"","8054","Verify RedTshirt product details","","2026-06-08","passed","2026-06-08","","","",""
"","7171","Login without username and password","","2026-06-08","passed","2026-06-08","","","",""
"","14982","Verify LabsOnesie product details","","2026-06-08","passed","2026-06-08","","","",""
"","6811","Successful login","","2026-06-08","passed","2026-06-08","","","",""
"","7920","Verify BoltTshirt product details","","2026-06-08","passed","2026-06-08","","","",""
"","14232","Verify LinkedIn page URL and Title","","2026-06-08","passed","2026-06-08","","","",""
"","3203","Login with incorrect username and password","","2026-06-08","passed","2026-06-08","","","",""
"","6874","Login with incorrect password","","2026-06-08","passed","2026-06-08","","","",""
